player_id,player_name,team,promo_code,drop_label,card_ovr,release_date,acquisition,is_tradeable,notes
,Khadija Shaw,Man City,TOTS,BWSL,97,2026-04-24,pack,True,
,Gabriel,Arsenal,TOTS,Premier League,96,2026-04-24,pack,True,
,Kerstin Casparij,Man City,TOTS,BWSL,96,2026-04-24,pack,True,
,Declan Rice,Arsenal,TOTS,Premier League,96,2026-04-24,pack,True,
,Erling Haaland,Man City,TOTS,Premier League,96,2026-04-24,pack,True,
,Mariona,Arsenal,TOTS,BWSL,96,2026-04-24,pack,True,
,Maya Le Tissier,Man United,TOTS,BWSL,95,2026-04-24,pack,True,
,William Saliba,Arsenal,TOTS,Premier League,95,2026-04-24,pack,True,
,Virgil Van Dijk,Liverpool,TOTS,Premier League,95,2026-04-24,pack,True,
,Alyssa Thompson,Chelsea,TOTS,BWSL,95,2026-04-24,pack,True,
,Gianluigi Donnarumma,Man City,TOTS,Premier League,95,2026-04-24,pack,True,
,Antoine Semenyo,Man City,TOTS,Premier League,94,2026-04-24,pack,True,
,Yui Hasegawa,Man City,TOTS,BWSL,94,2026-04-24,pack,True,
,Jess Park,Man United,TOTS,BWSL,94,2026-04-24,pack,True,
,Dominik Szoboszlai,Liverpool,TOTS,Premier League,94,2026-04-24,pack,True,
,Rayan Cherki,Man City,TOTS,Premier League,93,2026-04-24,pack,True,
,Enzo Fernandez,Chelsea,TOTS,Premier League,93,2026-04-24,pack,True,
,Marc Cucurella,Chelsea,TOTS,Premier League,93,2026-04-24,pack,True,
,Jurrien Timber,Arsenal,TOTS,Premier League,93,2026-04-24,pack,True,
,Toko Koga,Tottenham,TOTS,BWSL,93,2026-04-24,pack,True,
,David Raya,Arsenal,TOTS,Premier League,93,2026-04-24,pack,True,
,Vivianne Miedema,Man City,TOTS,BWSL,93,2026-04-24,pack,True,
,Joao Pedro,Chelsea,TOTS,Premier League,92,2026-04-24,pack,True,
,Katie McCabe,Arsenal,TOTS,BWSL,92,2026-04-24,pack,True,
,Igor Thiago,Brentford,TOTS,Premier League,92,2026-04-24,pack,True,
,Bruno Guimaraes,Newcastle United,TOTS,Premier League,92,2026-04-24,pack,True,
,Hannah Hampton,Chelsea,TOTS,BWSL,92,2026-04-24,pack,True,
,Granit Xhaka,Sunderland,TOTS,Premier League,91,2026-04-24,pack,True,
,Reece James,Chelsea,TOTS,Premier League,91,2026-04-24,pack,True,
,Nicolas Lopez,Nacional,TOTS,Rest of World,93,2026-05-01,pack,True,
,Lee Dong Kyeong,Ulsan Hyundai,TOTS,Rest of World,94,2026-05-01,pack,True,
,Jesse Randall,Auckland FC,TOTS,Rest of World,92,2026-05-01,pack,True,
,Marcelino Moreno,Lanus,TOTS,Rest of World,95,2026-05-01,pack,True,
,Juan Mata,Melbourne Victory,TOTS,Rest of World,96,2026-05-01,pack,True,
,Kang Sang Yoon,Jeonbuk Hyundai,TOTS,Rest of World,93,2026-05-01,pack,True,
,Patrik Mercado,Independiente Del Valle,TOTS,Rest of World,91,2026-05-01,pack,True,
,Yazan Al Arab,FC Seoul,TOTS,Rest of World,95,2026-05-01,pack,True,
,Santiago Sosa,Racing Club,TOTS,Rest of World,93,2026-05-01,pack,True,
,Blas Riveros,Cerro Porteno,TOTS,Rest of World,94,2026-05-01,pack,True,
,Fernando Muslera,Estudiantes,TOTS,Rest of World,94,2026-05-01,pack,True,
,Lachlan Bayliss,Newcastle Jets,TOTS,Rest of World,92,2026-05-01,pack,True,
,Gabriel Villamil,LDU Quito,TOTS,Rest of World,91,2026-05-01,pack,True,
,Kim Seung Sub,Jeonbuk Hyundai,TOTS,Rest of World,90,2026-05-01,pack,True,
,Evander,FC Cincinnati,TOTS,MLS,95,2026-04-17,pack,True,
,Sam Surridge,Nashville SC,TOTS,MLS,91,2026-04-17,pack,True,
,Denis Bouanga,LAFC,TOTS,MLS,95,2026-04-17,pack,True,
,Lionel Messi,Inter Miami CF,TOTS,MLS,96,2026-04-17,pack,True,
,Anders Dreyer,San Diego FC,TOTS,MLS,94,2026-04-17,pack,True,
,Cristian Roldan,Sounders FC,TOTS,MLS,94,2026-04-17,pack,True,
,Sebastian Berhalter,Whitecaps FC,TOTS,MLS,93,2026-04-17,pack,True,
,Jakob Glesnes,LA Galaxy,TOTS,MLS,93,2026-04-17,pack,True,
,Andy Najar,Nashville SC,TOTS,MLS,91,2026-04-17,pack,True,
,Tristan Blackmon,Whitecaps FC,TOTS,MLS,92,2026-04-17,pack,True,
,Dayne St. Clair,Inter Miami CF,TOTS,MLS,92,2026-04-17,pack,True,
,Diego Luna,Real Salt Lake,TOTS,MLS,93,2026-04-17,pack,True,
,David Ayala,Inter Miami CF,TOTS,MLS,91,2026-04-17,pack,True,
,Max Arfsten,Columbus Crew,TOTS,MLS,90,2026-04-17,pack,True,
,Kylian Mbappe,Real Madrid,TOTS,La Liga,96,2026-05-15,pack,True,
,Vedat Muriqi,RCD Mallorca,TOTS,La Liga,95,2026-05-15,pack,True,
,Carlos Romero,RCD Espanyol,TOTS,La Liga,95,2026-05-15,pack,True,
,Arda Guler,Real Madrid,TOTS,La Liga,94,2026-05-15,pack,True,
,Lamine Yamal,FC Barcelona,TOTS,La Liga,97,2026-05-15,pack,True,
,Federico Valverde,Real Madrid,TOTS,La Liga,94,2026-05-15,pack,True,
,Pedri,FC Barcelona,TOTS,La Liga,96,2026-05-15,pack,True,
,Eric Garcia,FC Barcelona,TOTS,La Liga,96,2026-05-15,pack,True,
,Aurelien Tchouameni,Real Madrid,TOTS,La Liga,95,2026-05-15,pack,True,
,Pau Cubarsi,FC Barcelona,TOTS,La Liga,93,2026-05-15,pack,True,
,Joan Garcia,FC Barcelona,TOTS,La Liga,94,2026-05-15,pack,True,
,Marcos Llorente,Atletico de Madrid,TOTS,La Liga,95,2026-05-15,pack,True,
,Raphinha,FC Barcelona,TOTS,La Liga,93,2026-05-15,pack,True,
,Mourino,Villarreal CF,TOTS,La Liga,93,2026-05-15,pack,True,
,Thibaut Courtois,Real Madrid,TOTS,La Liga,92,2026-05-15,pack,True,
,Pablo Fornals,Real Betis,TOTS,La Liga,92,2026-05-15,pack,True,
,Alberto Moleiro,Villarreal CF,TOTS,La Liga,92,2026-05-15,pack,True,
,Marc Pubill,Atletico de Madrid,TOTS,La Liga,92,2026-05-15,pack,True,
,Mikel Oyarzabal,Real Sociedad,TOTS,La Liga,91,2026-05-15,pack,True,
,Fermin Lopez,FC Barcelona,TOTS,La Liga,91,2026-05-15,pack,True,
,Luis Milla,Getafe CF,TOTS,La Liga,90,2026-05-15,pack,True,
,Pablo Barrios,Atletico de Madrid,TOTS,La Liga,90,2026-05-15,pack,True,
,Cristiano Ronaldo,Al Nassr,TOTW,TOTW 11,86,2025-11-26,pack,True,
,Ane Azkona,Athletic Club,TOTW,TOTW 11,86,2025-11-26,pack,True,
,Ferran Torres,FC Barcelona,TOTW,TOTW 11,86,2025-11-26,pack,True,
,Sakina Karchaoui,Paris SG,TOTW,TOTW 11,88,2025-11-26,pack,True,
,Eberechi Eze,Arsenal,TOTW,TOTW 11,87,2025-11-26,pack,True,
,Rose Lavelle,NJ/NY Gotham,TOTW,TOTW 11,89,2025-11-26,pack,True,
,Matias Soule,AS Roma,TOTW,TOTW 11,84,2025-11-26,pack,True,
,Harvey Barnes,Newcastle United,TOTW,TOTW 11,84,2025-11-26,pack,True,
,Abdelhamid Ait Boudlal,Stade Rennais FC,TOTW,TOTW 11,86,2025-11-26,pack,True,
,Deniz Undav,VfB Stuttgart,TOTW,TOTW 11,84,2025-11-26,pack,True,
,Jordan Pickford,Everton,TOTW,TOTW 11,86,2025-11-26,pack,True,
,Fabio Abreu,Beijing Guoan,TOTW,TOTW 11,84,2025-11-26,pack,True,
,Anton Ekeroth,HamKam Fotball,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Nicolo Savona,Nottingham Forest,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Kento Shiogai,NEC Nijmegen,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Lennart Karl,FC Bayern Munchen,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Adam Armstrong,Southampton,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Nahuel Losada,Lanus,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Aleix Febas,Elche CF,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Tommaso Pobega,Bologna,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Mathias Laborda,Whitecaps FC,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Naatan Skytta,Kaiserslautern,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Noah Naujoks,Excelsior,TOTW,TOTW 11,83,2025-11-26,pack,True,
,Carlos Espi,Levante UD,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Romelu Lukaku,SSC Napoli,TOTW,TOTW 25,86,2026-03-04,pack,True,
,Igor Paixao,OM,TOTW,TOTW 25,87,2026-03-04,pack,True,
,Mikkel Damsgaard,Brentford,TOTW,TOTW 25,87,2026-03-04,pack,True,
,Lionel Messi,Inter Miami CF,TOTW,TOTW 25,89,2026-03-04,pack,True,
,Joshua Kimmich,FC Bayern Munchen,TOTW,TOTW 25,90,2026-03-04,pack,True,
,Kristian Thorstvedt,Sassuolo,TOTW,TOTW 25,86,2026-03-04,pack,True,
,Inigo Martinez,Al Nassr,TOTW,TOTW 25,87,2026-03-04,pack,True,
,Tristan Crama,Millwall,TOTW,TOTW 25,86,2026-03-04,pack,True,
,Chibuike Nwainu,Trabzonspor,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Nikola Vasilj,FC St. Pauli,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Jurrien Timber,Arsenal,TOTW,TOTW 25,86,2026-03-04,pack,True,
,Martin Satriano,Getafe CF,TOTW,TOTW 25,86,2026-03-04,pack,True,
,Jesus Rodriguez,Como,TOTW,TOTW 25,84,2026-03-04,pack,True,
,William Gomes,FC Porto,TOTW,TOTW 25,84,2026-03-04,pack,True,
,David McGoldrick,Barnsley,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Michael Duffy,Derry City,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Marshall Munetsi,Paris FC,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Mohamed Ihattaren,Fortuna Sittard,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Nathan Ngoy,LOSC Lille,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Fares Chaibi,Frankfurt,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Joao Gomes,Wolves,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Rafael Profini,Union,TOTW,TOTW 25,84,2026-03-04,pack,True,
,Nick Woltemade,Newcastle United,Future Stars,Future Stars Team 1,90,2026-01-30,pack,True,
,Michelle Agyemang,Arsenal,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Alyssa Thompson,Chelsea,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,
,Jaedyn Shaw,NJ/NY Gotham,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Estevao,Chelsea,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,
,Desire Doue,Paris SG,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,
,Elliot Anderson,Nottingham Forest,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Alvaro Carreras,Real Madrid,Future Stars,Future Stars Team 1,90,2026-01-30,pack,True,
,Eduardo Quaresma,Sporting CP,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Jade Le Guilly,Paris SG,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Senne Lammens,Man United,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Francisco Conceicao,Juventus,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Antonio Nusa,RB Leipzig,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Diego Luna,Real Salt Lake,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,
,Rodrigo Mora,FC Porto,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Mateus Mane,Wolves,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Adam Wharton,Crystal Palace,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Valentin Barco,Strasbourg,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Luany,Atletico de Madrid,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Nico O'Reilly,Man City,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,
,Grace Clinton,Man City,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,
,Santiago Castro,Bologna,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,
,Hanna Lundkvist,Man United,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,
,Michelle Cooper,KC Current,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,
,Mikel Jauregizar,Athletic Club,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,
,Kees Smit,AZ,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Oskar Pietuszewski,FC Porto,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Vitor Reis,Girona FC,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Lisanne Grawe,Frankfurt,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Givairo Read,Feyenoord,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Ayyoub Bouaddi,LOSC Lille,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,
,Agnes Beever-Jones,Chelsea,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,
,Eli Junior Kroupi,AFC Bournemouth,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,
,Alberto Moleiro,Villarreal CF,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Lennart Karl,FC Bayern Munchen,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,
,Olivia Smith,Arsenal,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,
,Nico Paz,Como,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,
,Carlos Baleba,Brighton,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,
,Riccardo Calafiori,Arsenal,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,
,Dean Huijsen,Real Madrid,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,
,Wesley,AS Roma,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Robin Roefs,Sunderland,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Fermin Lopez,FC Barcelona,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,
,Lilly Reale,NJ/NY Gotham,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,
,Can Uzun,Frankfurt,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,
,Manaka Matsukubo,NC Courage,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,
,Riley Tiernan,Angel City FC,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Andreia Jacinto,Real Sociedad,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Maghnes Akliouche,AS Monaco,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Esmee Brugts,FC Barcelona,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Abdul Fatawu,Leicester City,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Tarciane,OL,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,
,Ricardo Pepi,PSV,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Mamadou Sangare,RC Lens,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Jack McGlynn,Houston Dynamo,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Jaden Philogene,Ipswich,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Antonio Silva,SL Benfica,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Wilson Odobert,Tottenham,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,
,Jorthy Mokio,Ajax,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,
,Joe Gelhardt,Hull City,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,
,Luka Vuskovic,Hamburger SV,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,
,Loreen Bender,Leverkusen,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,
