player_name,team,promo_code,drop_label,card_ovr,release_date,acquisition,is_tradeable,name_key,clave_carta_base,tiene_carta_base
Rayan Cherki,Man City,TOTS,Premier League,93,2026-04-24,pack,True,rayan cherki,rayan cherki,True
Toko Koga,Tottenham,TOTS,BWSL,93,2026-04-24,pack,True,toko koga,toko koga,True
Vivianne Miedema,Man City,TOTS,BWSL,93,2026-04-24,pack,True,vivianne miedema,vivianne miedema,True
Kang Sang Yoon,Jeonbuk Hyundai,TOTS,Rest of World,93,2026-05-01,pack,True,kang sang yoon,kang sang yoon,True
Nicolas Lopez,Nacional,TOTS,Rest of World,93,2026-05-01,pack,True,nicolas lopez,nicolas lopez,True
Santiago Sosa,Racing Club,TOTS,Rest of World,93,2026-05-01,pack,True,santiago sosa,santiago sosa,True
Mourino,Villarreal CF,TOTS,La Liga,93,2026-05-15,pack,True,mourino,santiago mourino,True
Pau Cubarsi,FC Barcelona,TOTS,La Liga,93,2026-05-15,pack,True,pau cubarsi,pau cubarsi,True
Raphinha,FC Barcelona,TOTS,La Liga,93,2026-05-15,pack,True,raphinha,raphinha,True
Dayne St. Clair,Inter Miami CF,TOTS,MLS,92,2026-04-17,pack,True,dayne st clair,dayne st clair,True
Tristan Blackmon,Whitecaps FC,TOTS,MLS,92,2026-04-17,pack,True,tristan blackmon,tristan blackmon,True
Bruno Guimaraes,Newcastle United,TOTS,Premier League,92,2026-04-24,pack,True,bruno guimaraes,bruno guimaraes,True
Hannah Hampton,Chelsea,TOTS,BWSL,92,2026-04-24,pack,True,hannah hampton,hannah hampton,True
Igor Thiago,Brentford,TOTS,Premier League,92,2026-04-24,pack,True,igor thiago,igor thiago,True
Joao Pedro,Chelsea,TOTS,Premier League,92,2026-04-24,pack,True,joao pedro,joao pedro,True
Katie McCabe,Arsenal,TOTS,BWSL,92,2026-04-24,pack,True,katie mccabe,katie mccabe,True
Jesse Randall,Auckland FC,TOTS,Rest of World,92,2026-05-01,pack,True,jesse randall,jesse randall,True
Lachlan Bayliss,Newcastle Jets,TOTS,Rest of World,92,2026-05-01,pack,True,lachlan bayliss,lachlan bayliss,True
Alberto Moleiro,Villarreal CF,TOTS,La Liga,92,2026-05-15,pack,True,alberto moleiro,moleiro,True
Marc Pubill,Atletico de Madrid,TOTS,La Liga,92,2026-05-15,pack,True,marc pubill,pubill,True
Pablo Fornals,Real Betis,TOTS,La Liga,92,2026-05-15,pack,True,pablo fornals,pablo fornals,True
Thibaut Courtois,Real Madrid,TOTS,La Liga,92,2026-05-15,pack,True,thibaut courtois,thibaut courtois,True
Alyssa Thompson,Chelsea,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,alyssa thompson,alyssa thompson,True
Desire Doue,Paris SG,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,desire doue,desire doue,True
Estevao,Chelsea,Future Stars,Future Stars Team 1,91,2026-01-30,pack,True,estevao,estevao,True
Dean Huijsen,Real Madrid,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,dean huijsen,dean huijsen,True
Lennart Karl,FC Bayern Munchen,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,lennart karl,lennart karl,True
Olivia Smith,Arsenal,Future Stars,Future Stars Team 2,91,2026-02-06,pack,True,olivia smith,olivia smith,True
Andy Najar,Nashville SC,TOTS,MLS,91,2026-04-17,pack,True,andy najar,andy najar,True
David Ayala,Inter Miami CF,TOTS,MLS,91,2026-04-17,pack,True,david ayala,david ayala,True
Sam Surridge,Nashville SC,TOTS,MLS,91,2026-04-17,pack,True,sam surridge,sam surridge,True
Granit Xhaka,Sunderland,TOTS,Premier League,91,2026-04-24,pack,True,granit xhaka,granit xhaka,True
Reece James,Chelsea,TOTS,Premier League,91,2026-04-24,pack,True,reece james,reece james,True
Gabriel Villamil,LDU Quito,TOTS,Rest of World,91,2026-05-01,pack,True,gabriel villamil,gabriel villamil,True
Patrik Mercado,Independiente Del Valle,TOTS,Rest of World,91,2026-05-01,pack,True,patrik mercado,patrik mercado,True
Fermin Lopez,FC Barcelona,TOTS,La Liga,91,2026-05-15,pack,True,fermin lopez,,False
Mikel Oyarzabal,Real Sociedad,TOTS,La Liga,91,2026-05-15,pack,True,mikel oyarzabal,oyarzabal,True
Alvaro Carreras,Real Madrid,Future Stars,Future Stars Team 1,90,2026-01-30,pack,True,alvaro carreras,alvaro carreras,True
Nick Woltemade,Newcastle United,Future Stars,Future Stars Team 1,90,2026-01-30,pack,True,nick woltemade,nick woltemade,True
Agnes Beever-Jones,Chelsea,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,agnes beever jones,agnes beever jones,True
Carlos Baleba,Brighton,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,carlos baleba,carlos baleba,True
Fermin Lopez,FC Barcelona,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,fermin lopez,,False
Nico Paz,Como,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,nico paz,nico paz,True
Riccardo Calafiori,Arsenal,Future Stars,Future Stars Team 2,90,2026-02-06,pack,True,riccardo calafiori,riccardo calafiori,True
Joshua Kimmich,FC Bayern Munchen,TOTW,TOTW 25,90,2026-03-04,pack,True,joshua kimmich,joshua kimmich,True
Max Arfsten,Columbus Crew,TOTS,MLS,90,2026-04-17,pack,True,max arfsten,max arfsten,True
Kim Seung Sub,Jeonbuk Hyundai,TOTS,Rest of World,90,2026-05-01,pack,True,kim seung sub,kim seung sub,True
Luis Milla,Getafe CF,TOTS,La Liga,90,2026-05-15,pack,True,luis milla,luis milla,True
Pablo Barrios,Atletico de Madrid,TOTS,La Liga,90,2026-05-15,pack,True,pablo barrios,pablo barrios,True
Rose Lavelle,NJ/NY Gotham,TOTW,TOTW 11,89,2025-11-26,pack,True,rose lavelle,rose lavelle,True
Antonio Nusa,RB Leipzig,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,antonio nusa,antonio nusa,True
Diego Luna,Real Salt Lake,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,diego luna,diego luna,True
Elliot Anderson,Nottingham Forest,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,elliot anderson,elliot anderson,True
Francisco Conceicao,Juventus,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,francisco conceicao,francisco conceicao,True
Jade Le Guilly,Paris SG,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,jade le guilly,jade le guilly,True
Jaedyn Shaw,NJ/NY Gotham,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,jaedyn shaw,jaedyn shaw,True
Michelle Agyemang,Arsenal,Future Stars,Future Stars Team 1,89,2026-01-30,pack,True,michelle agyemang,michelle agyemang,True
Can Uzun,Frankfurt,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,can uzun,can uzun,True
Eli Junior Kroupi,AFC Bournemouth,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,eli junior kroupi,eli junior kroupi,True
Lilly Reale,NJ/NY Gotham,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,lilly reale,lilly reale,True
Manaka Matsukubo,NC Courage,Future Stars,Future Stars Team 2,89,2026-02-06,pack,True,manaka matsukubo,manaka matsukubo,True
Lionel Messi,Inter Miami CF,TOTW,TOTW 25,89,2026-03-04,pack,True,lionel messi,lionel messi,True
Sakina Karchaoui,Paris SG,TOTW,TOTW 11,88,2025-11-26,pack,True,sakina karchaoui,sakina karchaoui,True
Adam Wharton,Crystal Palace,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,adam wharton,adam wharton,True
Eduardo Quaresma,Sporting CP,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,eduardo quaresma,eduardo quaresma,True
Luany,Atletico de Madrid,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,luany,luany,True
Mateus Mane,Wolves,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,mateus mane,mateus mane,True
Nico O'Reilly,Man City,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,nico o reilly,nico o reilly,True
Rodrigo Mora,FC Porto,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,rodrigo mora,rodrigo mora,True
Senne Lammens,Man United,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,senne lammens,senne lammens,True
Valentin Barco,Strasbourg,Future Stars,Future Stars Team 1,88,2026-01-30,pack,True,valentin barco,valentin barco,True
Abdul Fatawu,Leicester City,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,abdul fatawu,abdul fatawu,True
Alberto Moleiro,Villarreal CF,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,alberto moleiro,moleiro,True
Andreia Jacinto,Real Sociedad,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,andreia jacinto,andreia jacinto,True
Esmee Brugts,FC Barcelona,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,esmee brugts,esmee brugts,True
Maghnes Akliouche,AS Monaco,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,maghnes akliouche,maghnes akliouche,True
Riley Tiernan,Angel City FC,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,riley tiernan,riley tiernan,True
Tarciane,OL,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,tarciane,tarciane,True
Wesley,AS Roma,Future Stars,Future Stars Team 2,88,2026-02-06,pack,True,wesley,wesley,True
Eberechi Eze,Arsenal,TOTW,TOTW 11,87,2025-11-26,pack,True,eberechi eze,eberechi eze,True
Grace Clinton,Man City,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,grace clinton,grace clinton,True
Hanna Lundkvist,Man United,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,hanna lundkvist,hanna lundkvist,True
Michelle Cooper,KC Current,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,michelle cooper,michelle cooper,True
Mikel Jauregizar,Athletic Club,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,mikel jauregizar,jauregizar,True
Santiago Castro,Bologna,Future Stars,Future Stars Team 1,87,2026-01-30,pack,True,santiago castro,santiago castro,True
Antonio Silva,SL Benfica,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,antonio silva,antonio silva,True
Jack McGlynn,Houston Dynamo,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,jack mcglynn,jack mcglynn,True
Jaden Philogene,Ipswich,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,jaden philogene,jaden philogene,True
Mamadou Sangare,RC Lens,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,mamadou sangare,mamadou sangare,True
Ricardo Pepi,PSV,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,ricardo pepi,ricardo pepi,True
Robin Roefs,Sunderland,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,robin roefs,robin roefs,True
Wilson Odobert,Tottenham,Future Stars,Future Stars Team 2,87,2026-02-06,pack,True,wilson odobert,wilson odobert,True
Igor Paixao,OM,TOTW,TOTW 25,87,2026-03-04,pack,True,igor paixao,igor paixao,True
Inigo Martinez,Al Nassr,TOTW,TOTW 25,87,2026-03-04,pack,True,inigo martinez,inigo martinez,True
Mikkel Damsgaard,Brentford,TOTW,TOTW 25,87,2026-03-04,pack,True,mikkel damsgaard,mikkel damsgaard,True
Abdelhamid Ait Boudlal,Stade Rennais FC,TOTW,TOTW 11,86,2025-11-26,pack,True,abdelhamid ait boudlal,abdelhamid ait boudlal,True
Ane Azkona,Athletic Club,TOTW,TOTW 11,86,2025-11-26,pack,True,ane azkona,ane azkona,True
Cristiano Ronaldo,Al Nassr,TOTW,TOTW 11,86,2025-11-26,pack,True,cristiano ronaldo,cristiano ronaldo,True
Ferran Torres,FC Barcelona,TOTW,TOTW 11,86,2025-11-26,pack,True,ferran torres,ferran torres,True
Jordan Pickford,Everton,TOTW,TOTW 11,86,2025-11-26,pack,True,jordan pickford,jordan pickford,True
Ayyoub Bouaddi,LOSC Lille,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,ayyoub bouaddi,ayyoub bouaddi,True
Givairo Read,Feyenoord,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,givairo read,givairo read,True
Kees Smit,AZ,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,kees smit,kees smit,True
Lisanne Grawe,Frankfurt,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,lisanne grawe,lisanne grawe,True
Oskar Pietuszewski,FC Porto,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,oskar pietuszewski,oskar pietuszewski,True
Vitor Reis,Girona FC,Future Stars,Future Stars Team 1,86,2026-01-30,pack,True,vitor reis,vitor reis,True
Joe Gelhardt,Hull City,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,joe gelhardt,joe gelhardt,True
Jorthy Mokio,Ajax,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,jorthy mokio,jorthy mokio,True
Loreen Bender,Leverkusen,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,loreen bender,loreen bender,True
Luka Vuskovic,Hamburger SV,Future Stars,Future Stars Team 2,86,2026-02-06,pack,True,luka vuskovic,luka vuskovic,True
Jurrien Timber,Arsenal,TOTW,TOTW 25,86,2026-03-04,pack,True,jurrien timber,jurrien timber,True
Kristian Thorstvedt,Sassuolo,TOTW,TOTW 25,86,2026-03-04,pack,True,kristian thorstvedt,kristian thorstvedt,True
Martin Satriano,Getafe CF,TOTW,TOTW 25,86,2026-03-04,pack,True,martin satriano,martin satriano,True
Romelu Lukaku,SSC Napoli,TOTW,TOTW 25,86,2026-03-04,pack,True,romelu lukaku,romelu lukaku,True
Tristan Crama,Millwall,TOTW,TOTW 25,86,2026-03-04,pack,True,tristan crama,tristan crama,True
Deniz Undav,VfB Stuttgart,TOTW,TOTW 11,84,2025-11-26,pack,True,deniz undav,deniz undav,True
Fabio Abreu,Beijing Guoan,TOTW,TOTW 11,84,2025-11-26,pack,True,fabio abreu,fabio abreu,True
Harvey Barnes,Newcastle United,TOTW,TOTW 11,84,2025-11-26,pack,True,harvey barnes,harvey barnes,True
Matias Soule,AS Roma,TOTW,TOTW 11,84,2025-11-26,pack,True,matias soule,matias soule,True
Carlos Espi,Levante UD,TOTW,TOTW 25,84,2026-03-04,pack,True,carlos espi,carlos espi,True
Chibuike Nwainu,Trabzonspor,TOTW,TOTW 25,84,2026-03-04,pack,True,chibuike nwainu,,False
David McGoldrick,Barnsley,TOTW,TOTW 25,84,2026-03-04,pack,True,david mcgoldrick,david mcgoldrick,True
Fares Chaibi,Frankfurt,TOTW,TOTW 25,84,2026-03-04,pack,True,fares chaibi,fares chaibi,True
Jesus Rodriguez,Como,TOTW,TOTW 25,84,2026-03-04,pack,True,jesus rodriguez,jesus rodriguez,True
Joao Gomes,Wolves,TOTW,TOTW 25,84,2026-03-04,pack,True,joao gomes,joao gomes,True
Marshall Munetsi,Paris FC,TOTW,TOTW 25,84,2026-03-04,pack,True,marshall munetsi,marshall munetsi,True
Michael Duffy,Derry City,TOTW,TOTW 25,84,2026-03-04,pack,True,michael duffy,michael duffy,True
Mohamed Ihattaren,Fortuna Sittard,TOTW,TOTW 25,84,2026-03-04,pack,True,mohamed ihattaren,mohamed ihattaren,True
Nathan Ngoy,LOSC Lille,TOTW,TOTW 25,84,2026-03-04,pack,True,nathan ngoy,nathan ngoy,True
Nikola Vasilj,FC St. Pauli,TOTW,TOTW 25,84,2026-03-04,pack,True,nikola vasilj,nikola vasilj,True
Rafael Profini,Union,TOTW,TOTW 25,84,2026-03-04,pack,True,rafael profini,rafael profini,True
William Gomes,FC Porto,TOTW,TOTW 25,84,2026-03-04,pack,True,william gomes,william gomes,True
Adam Armstrong,Southampton,TOTW,TOTW 11,83,2025-11-26,pack,True,adam armstrong,adam armstrong,True
Aleix Febas,Elche CF,TOTW,TOTW 11,83,2025-11-26,pack,True,aleix febas,aleix febas,True
Anton Ekeroth,HamKam Fotball,TOTW,TOTW 11,83,2025-11-26,pack,True,anton ekeroth,anton ekeroth,True
Kento Shiogai,NEC Nijmegen,TOTW,TOTW 11,83,2025-11-26,pack,True,kento shiogai,kento shiogai,True
Lennart Karl,FC Bayern Munchen,TOTW,TOTW 11,83,2025-11-26,pack,True,lennart karl,lennart karl,True
Mathias Laborda,Whitecaps FC,TOTW,TOTW 11,83,2025-11-26,pack,True,mathias laborda,mathias laborda,True
Naatan Skytta,Kaiserslautern,TOTW,TOTW 11,83,2025-11-26,pack,True,naatan skytta,naatan skytta,True
Nahuel Losada,Lanus,TOTW,TOTW 11,83,2025-11-26,pack,True,nahuel losada,nahuel losada,True
Nicolo Savona,Nottingham Forest,TOTW,TOTW 11,83,2025-11-26,pack,True,nicolo savona,nicolo savona,True
Noah Naujoks,Excelsior,TOTW,TOTW 11,83,2025-11-26,pack,True,noah naujoks,noah naujoks,True
Tommaso Pobega,Bologna,TOTW,TOTW 11,83,2025-11-26,pack,True,tommaso pobega,tommaso pobega,True
