rank_global,rank_posicion,player_id,name,gender,age,position,alternative_positions,n_alternative_positions,ovr,pac,sho,pas,dri,def,phy,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,play_styles,n_play_styles,n_play_styles_plus,nation,league,team,name_key
11,1,235212,Achraf Hakimi,M,27,RB,RM,1,89,92,79,82,83,82,79,89,95,84,80,82,77,74,68,85,78,80,86,73,78,82,81,78,90,85,84,85,71,82,85,79,84,95,72,77,181.0,73.0,Right,4,4,Relentless+|Anticipate|Jockey|Low Driven Shot|Press Proven|Quick Step|Whipped Pass,7,1,Morocco,Ligue 1 McDonald's,Paris SG,achraf hakimi
11,4,258980,Alessia Russo,F,27,ST,CAM|CM,2,89,82,88,70,87,39,73,81,82,90,90,88,86,84,76,64,69,65,81,60,64,89,81,73,89,90,84,34,90,29,37,35,91,72,79,55,173.0,64.0,Right,3,4,Precision Header+|Aerial Fortress|Enforcer|Finesse Shot|First Touch|Rapid,6,1,England,Barclays WSL,Arsenal,alessia russo
11,3,239053,Federico Valverde,M,27,CM,CDM|RB,2,89,88,84,84,84,83,85,84,92,86,80,91,91,78,59,78,86,69,88,88,76,84,77,68,89,88,84,86,63,82,87,86,82,93,82,81,182.0,74.0,Right,4,3,Relentless+|Aerial Fortress|Intercept|Long Ball Pass|Power Shot|Rapid|Slide Tackle,7,1,Uruguay,LALIGA EA SPORTS,Real Madrid,federico valverde
11,2,256630,Florian Wirtz,M,22,CAM,ST|CM,2,89,80,82,88,90,54,67,82,79,85,84,78,84,81,66,87,91,74,91,87,83,90,88,87,88,92,86,55,43,64,49,44,65,87,59,63,177.0,71.0,Right,4,4,Incisive Pass+|Chip Shot|Finesse Shot|First Touch|Inventive|Low Driven Shot|Technical,7,1,Germany,Premier League,Liverpool,florian wirtz
11,4,202126,Harry Kane,M,32,ST,,0,89,64,92,83,82,48,82,62,66,94,93,91,89,89,95,80,86,69,86,79,82,80,67,72,94,87,92,42,90,46,44,38,87,76,86,80,188.0,86.0,Right,4,3,Finesse Shot+|First Touch|Gamechanger|Long Ball Pass|Low Driven Shot|Precision Header,6,1,England,Bundesliga,FC Bayern München,harry kane
11,2,212622,Joshua Kimmich,M,31,CDM,RB|CM,2,89,72,74,89,84,83,79,75,70,78,68,78,83,69,71,92,86,79,89,92,85,82,83,84,89,86,86,85,72,82,86,85,77,92,69,89,177.0,75.0,Right,4,3,Long Ball Pass+|Anticipate|Finesse Shot|Press Proven|Relentless|Whipped Pass,6,1,Germany,Bundesliga,FC Bayern München,joshua kimmich
11,4,246219,Khadija Shaw,F,29,ST,,0,89,71,89,71,81,32,85,72,71,91,93,93,84,77,75,59,79,63,78,68,58,82,62,48,88,89,86,25,91,23,30,20,92,83,91,71,180.0,70.0,Right,4,3,Precision Header+|Enforcer|Low Driven Shot|Press Proven,4,1,Jamaica,Barclays WSL,Manchester City,khadija shaw
11,2,277643,Lamine Yamal,M,18,RM,RW,1,89,85,81,86,90,23,53,88,83,88,83,83,82,65,69,89,88,65,88,84,87,92,93,81,88,90,84,18,33,23,20,28,58,73,45,45,180.0,72.0,Left,3,5,Technical+|Finesse Shot|First Touch|Gamechanger|Incisive Pass|Inventive|Quick Step,7,1,Spain,LALIGA EA SPORTS,FC Barcelona,lamine yamal
11,2,236479,Mapi León,F,30,CB,,0,89,75,68,79,76,90,82,73,77,70,61,78,78,49,64,81,62,85,85,84,82,68,73,86,90,82,91,90,83,91,90,89,88,75,85,84,170.0,58.0,Left,3,2,Slide Tackle+|Dead Ball|Jockey|Long Ball Pass,4,1,Spain,Liga F Moeve,FC Barcelona,mapi leon
11,3,237288,Mariona,F,30,CM,CDM|RW|CAM,3,89,78,84,86,90,76,79,81,76,81,89,75,89,56,80,84,88,72,89,89,75,90,92,93,86,89,84,79,61,75,80,77,73,93,78,65,165.0,62.0,Right,4,4,Relentless+|First Touch|Incisive Pass|Inventive|Long Ball Pass|Technical|Tiki Taka,7,1,Spain,Barclays WSL,Arsenal,mariona
11,2,237289,Patri Guijarro,F,27,CDM,CM,1,89,78,82,83,87,86,83,78,78,80,80,89,91,58,70,69,84,66,90,92,75,86,82,87,86,90,84,84,84,86,87,85,90,78,85,82,170.0,73.0,Right,4,4,Long Ball Pass+|Aerial Fortress|First Touch|Incisive Pass|Inventive|Press Proven|Tiki Taka,7,1,Spain,Liga F Moeve,FC Barcelona,patri guijarro
11,3,251854,Pedri,M,23,CM,CDM|CAM,2,89,77,73,85,91,78,77,79,76,86,77,68,76,56,53,76,91,62,90,88,79,91,89,92,87,91,90,87,50,74,85,79,72,90,73,72,174.0,60.0,Right,4,4,First Touch+|Incisive Pass|Long Ball Pass|Relentless|Technical|Tiki Taka,6,1,Spain,LALIGA EA SPORTS,FC Barcelona,pedri
11,1,233419,Raphinha,M,29,LM,LW,1,89,91,84,85,87,53,75,90,91,89,87,83,82,72,78,86,87,79,85,80,85,88,88,79,87,88,85,56,74,49,54,38,82,91,65,77,176.0,68.0,Left,4,4,Rapid+|Finesse Shot|Power Shot|Quick Step|Relentless|Trickster,6,1,Brazil,LALIGA EA SPORTS,FC Barcelona,raphinha
11,1,238794,Vini Jr.,M,25,LW,ST|LM,2,89,95,84,81,91,29,69,95,95,86,88,81,83,73,74,81,85,62,83,77,79,93,94,84,85,90,83,26,50,32,25,18,74,84,65,58,176.0,73.0,Right,4,5,Quick Step+|Chip Shot|Finesse Shot|First Touch|Gamechanger|Inventive|Rapid,7,1,Brazil,LALIGA EA SPORTS,Real Madrid,vini jr
11,3,255253,Vitinha,M,26,CM,CDM|CAM,2,89,72,80,86,90,75,70,75,69,81,80,77,84,62,88,78,90,69,90,89,81,91,91,89,88,88,88,85,52,74,79,69,66,87,59,77,172.0,64.0,Right,3,4,Technical+|Finesse Shot|Incisive Pass|Intercept|Long Ball Pass|Relentless|Tiki Taka,7,1,Portugal,Ligue 1 McDonald's,Paris SG,vitinha
26,7,233731,Alexander Isak,M,26,ST,,0,88,83,89,73,85,39,76,86,80,89,91,91,83,81,86,68,80,64,79,60,75,88,73,69,87,87,88,38,82,35,34,29,90,82,79,58,192.0,77.0,Right,4,4,Finesse Shot+|First Touch|Gamechanger|Low Driven Shot|Power Shot|Rapid,6,1,Sweden,Premier League,Liverpool,alexander isak
26,2,246669,Bukayo Saka,M,24,RW,RM,1,88,84,82,85,88,60,73,87,81,86,84,79,81,79,87,90,86,74,85,77,88,89,85,88,88,88,82,62,49,60,62,60,72,86,68,68,178.0,65.0,Left,4,3,Whipped Pass+|Finesse Shot|Technical,3,1,England,Premier League,Arsenal,bukayo saka
26,3,226893,Debinha,F,34,CAM,RW|CM,2,88,85,79,86,91,46,75,85,85,87,78,80,78,86,73,80,90,77,87,85,89,93,90,94,77,91,84,49,56,49,39,44,75,90,70,70,155.0,52.0,Right,5,5,Trickster+|Acrobatic|First Touch|Gamechanger|Low Driven Shot|Quick Step|Technical,7,1,Brazil,NWSL,KC Current,debinha
26,7,241846,Ewa Pajor,F,29,ST,LW|LM,2,88,87,88,64,88,22,71,88,87,91,92,87,79,89,89,47,72,66,75,51,64,88,90,83,84,90,89,20,77,18,12,10,90,82,82,24,168.0,59.0,Right,3,3,Finesse Shot+|Gamechanger|Low Driven Shot|Precision Header|Rapid,5,1,Poland,Liga F Moeve,FC Barcelona,ewa pajor
26,3,232580,Gabriel,M,28,CB,,0,88,64,44,64,65,88,84,61,67,52,37,62,39,33,51,42,63,31,79,76,57,64,51,37,88,71,79,87,90,89,88,87,88,71,89,86,190.0,87.0,Left,2,2,Bruiser+|Precision Header,2,1,Brazil,Premier League,Arsenal,gabriel
26,2,227323,Guro Reiten,F,31,LM,LW|CAM,2,88,88,82,85,87,60,69,87,88,86,83,81,83,61,89,92,87,80,83,80,80,84,91,90,88,88,88,65,50,60,60,57,71,91,61,60,167.0,60.0,Left,3,4,Rapid+|Dead Ball|Finesse Shot|Incisive Pass|Quick Step|Relentless|Whipped Pass,7,1,Norway,Barclays WSL,Chelsea,guro reiten
26,3,227190,Irene Paredes,F,34,CB,,0,88,71,52,67,68,88,84,69,72,39,51,60,46,60,51,59,51,40,83,68,69,57,66,70,91,80,80,88,85,91,87,86,82,72,88,87,178.0,67.0,Right,3,2,Bruiser+|Aerial Fortress|Jockey|Long Ball Pass|Slide Tackle,5,1,Spain,Liga F Moeve,FC Barcelona,irene paredes
26,3,256790,Jamal Musiala,M,23,CAM,LM|CM|ST,3,88,80,82,80,90,66,65,85,75,88,86,80,82,75,61,70,84,59,87,79,75,94,94,93,89,85,83,65,75,64,66,61,80,73,61,59,184.0,72.0,Right,4,5,Technical+|Gamechanger|Incisive Pass|Inventive|Low Driven Shot|Precision Header|Trickster,7,1,Germany,Bundesliga,FC Bayern München,jamal musiala
26,2,227361,Kadidiatou Diani,F,31,RW,ST|RM,2,88,92,85,81,88,56,79,91,93,88,90,79,84,74,71,79,84,70,87,74,74,87,89,84,84,89,88,55,81,46,60,49,89,80,89,52,168.0,64.0,Right,4,4,Finesse Shot+|Enforcer|Gamechanger|Precision Header|Quick Step|Technical,6,1,France,Arkema PL,OL Lyonnes,kadidiatou diani
26,7,231478,Lautaro Martínez,M,28,ST,,0,88,81,88,75,84,51,83,83,80,93,93,87,80,92,74,68,79,65,78,72,84,81,88,87,92,84,88,48,86,45,50,45,91,86,80,87,174.0,72.0,Right,4,4,Gamechanger+|Enforcer|Incisive Pass|Power Shot|Precision Header|Relentless|Technical,7,1,Argentina,Serie A Enilive,Lombardia FC,lautaro martinez
26,7,246272,Marie Katoto,F,27,ST,,0,88,85,87,77,84,39,74,88,82,91,90,84,83,91,82,71,79,72,85,70,71,84,84,68,82,87,86,27,91,37,35,30,95,71,85,44,177.0,66.0,Right,4,4,Precision Header+|Aerial Fortress|Press Proven,3,1,France,Arkema PL,OL Lyonnes,marie katoto
26,7,188545,Robert Lewandowski,M,37,ST,,0,88,74,89,79,85,44,84,73,74,90,92,89,82,86,90,76,81,84,84,70,79,84,77,83,89,88,87,49,87,35,42,19,91,76,89,81,185.0,81.0,Right,4,4,Chip Shot+|Finesse Shot|First Touch|Incisive Pass|Low Driven Shot|Power Shot|Precision Header,7,1,Poland,LALIGA EA SPORTS,FC Barcelona,robert lewandowski
26,7,264012,Sophia Wilson,F,25,ST,LW|CAM,2,88,92,87,79,89,45,81,91,92,88,89,86,86,84,80,73,74,72,88,75,74,89,85,86,88,91,80,43,79,41,42,39,92,85,83,68,164.0,58.0,Right,5,4,First Touch+|Finesse Shot|Low Driven Shot|Quick Step|Technical|Trickster,6,1,United States,NWSL,Portland Thorns,sophia wilson
39,13,227310,Ada Hegerberg,F,30,ST,,0,87,72,86,76,85,39,79,71,73,89,89,82,85,86,84,68,76,75,82,72,79,90,74,45,87,89,85,23,91,41,33,30,90,75,85,65,176.0,68.0,Right,4,4,Precision Header+|Enforcer|First Touch|Technical,4,1,Norway,Arkema PL,OL Lyonnes,ada hegerberg
39,5,237383,Alessandro Bastoni,M,26,CB,,0,87,74,46,75,76,88,82,71,77,39,39,59,48,44,50,72,72,41,82,84,64,74,64,60,89,82,85,88,86,87,90,84,88,81,81,83,190.0,75.0,Left,2,2,Block|Long Ball Pass|Pinged Pass|Relentless|Whipped Pass,5,0,Italy,Serie A Enilive,Lombardia FC,alessandro bastoni
39,7,239837,Alexis Mac Allister,M,27,CM,CDM,1,87,66,82,85,85,78,76,68,64,78,79,88,85,77,86,79,86,82,88,87,83,84,82,86,89,86,86,80,65,78,83,74,72,87,69,83,176.0,72.0,Right,3,3,Pinged Pass+|Block|Dead Ball|Gamechanger|Power Shot|Press Proven,6,1,Argentina,Premier League,Liverpool,alexis mac allister
39,3,245802,Beth Mead,F,30,RM,RW,1,87,82,84,84,87,67,73,83,81,85,84,88,87,73,68,87,86,88,84,74,81,88,74,84,89,91,82,73,68,61,69,68,85,81,84,31,163.0,58.0,Right,4,5,First Touch+|Gamechanger|Technical|Whipped Pass,4,1,England,Barclays WSL,Arsenal,beth mead
39,5,212198,Bruno Fernandes,M,31,CAM,CM,1,87,67,83,89,83,65,75,68,66,86,80,86,85,87,91,85,92,85,90,90,85,82,78,73,90,87,85,63,63,62,71,66,69,95,61,84,179.0,69.0,Right,4,4,Relentless+|Dead Ball|Gamechanger|Incisive Pass|Inventive|Long Ball Pass|Tiki Taka,7,1,Portugal,Premier League,Man Utd,bruno fernandes
39,3,257001,Chloe Kelly,F,28,RM,RW,1,87,88,84,85,84,43,69,88,88,82,85,92,79,71,80,87,83,81,86,82,86,85,87,76,83,84,81,50,50,44,38,38,76,77,75,40,168.0,58.0,Right,4,4,Dead Ball|Inventive|Quick Step|Technical|Trickster|Whipped Pass,6,0,England,Barclays WSL,Arsenal,chloe kelly
39,5,257534,Cole Palmer,M,23,CAM,RM|ST,2,87,75,83,87,87,50,65,76,75,87,82,85,85,70,90,85,89,81,87,86,86,87,80,78,88,89,89,50,60,50,50,40,71,83,60,55,185.0,76.0,Left,3,4,Inventive+|Finesse Shot|First Touch|Gamechanger|Incisive Pass|Low Driven Shot|Technical,7,1,England,Premier League,Chelsea,cole palmer
39,4,234378,Declan Rice,M,27,CDM,CM,1,87,72,73,84,80,83,83,71,73,77,64,87,83,50,71,88,79,75,86,86,86,82,63,65,85,84,86,86,72,81,86,85,80,92,78,85,185.0,80.0,Right,3,3,Aerial Fortress|Block|Dead Ball|Intercept|Press Proven|Relentless|Whipped Pass,7,0,England,Premier League,Arsenal,declan rice
39,7,228702,Frenkie de Jong,M,28,CM,CDM,1,87,82,71,85,87,78,77,80,83,78,75,68,69,70,53,78,88,64,90,87,84,86,87,79,87,88,90,82,72,76,78,77,82,87,73,74,181.0,74.0,Right,3,4,Tiki Taka+|Incisive Pass|Inventive|Press Proven,4,1,Holland,LALIGA EA SPORTS,FC Barcelona,frenkie de jong
39,5,213331,Jonathan Tah,M,30,CB,,0,87,63,38,60,63,87,86,53,71,36,32,60,26,53,38,39,57,27,78,68,37,60,49,40,85,70,79,84,87,88,89,84,85,76,91,86,195.0,94.0,Right,3,2,Anticipate+|Aerial Fortress|Precision Header,3,1,Germany,Bundesliga,FC Bayern München,jonathan tah
39,2,241486,Jules Koundé,M,27,RB,CB|RM,2,87,84,47,74,79,86,84,85,83,69,47,48,45,32,43,78,70,26,82,75,64,78,70,78,86,81,82,86,80,87,86,84,91,87,85,78,180.0,75.0,Right,3,3,Jockey+|Aerial Fortress|Long Ball Pass|Quick Step|Relentless|Slide Tackle,6,1,France,LALIGA EA SPORTS,FC Barcelona,jules kounde
39,13,246191,Julián Alvarez,M,26,ST,,0,87,85,87,81,87,57,79,86,85,88,88,88,86,84,78,77,83,80,83,78,87,87,87,87,88,88,86,52,78,60,55,46,86,85,72,86,170.0,71.0,Right,4,4,Press Proven+|Finesse Shot,2,1,Argentina,LALIGA EA SPORTS,Atlético de Madrid,julian alvarez
39,1,265239,Katie McCabe,F,30,LB,LW|LM,2,87,80,81,82,83,83,82,81,79,79,79,90,80,69,74,89,68,78,87,79,84,80,88,81,80,85,84,83,75,90,81,79,83,92,73,94,164.0,55.0,Left,3,4,Bruiser|Long Throw|Rapid|Slide Tackle|Whipped Pass,5,0,Republic of Ireland,Barclays WSL,Arsenal,katie mccabe
39,7,192985,Kevin De Bruyne,M,34,CM,CAM,1,87,66,83,92,84,65,72,65,66,81,78,90,87,81,83,93,92,83,92,93,93,85,68,66,89,89,87,65,55,65,70,55,70,66,74,73,181.0,75.0,Right,5,4,Whipped Pass+|Dead Ball|Incisive Pass|Inventive|Pinged Pass,5,1,Belgium,Serie A Enilive,SSC Napoli,kevin de bruyne
39,2,247635,Khvicha Kvaratskhelia,M,25,LW,RW|LM,2,87,86,80,83,88,58,78,85,86,87,81,78,86,64,70,79,85,74,87,78,86,89,86,84,84,88,84,58,62,53,62,52,87,83,76,73,183.0,70.0,Right,5,5,Inventive+|Finesse Shot|Gamechanger|Incisive Pass|Technical|Trickster,6,1,Georgia,Ligue 1 McDonald's,Paris SG,khvicha kvaratskhelia
39,2,257008,Lauren Hemp,F,25,LW,LM,1,87,91,77,84,87,63,70,92,91,83,78,83,70,69,68,92,83,80,81,79,86,88,90,91,86,87,70,69,63,56,69,57,78,88,63,62,164.0,59.0,Left,3,4,Rapid+|Finesse Shot|First Touch|Quick Step|Whipped Pass,5,1,England,Barclays WSL,Manchester City,lauren hemp
39,5,246426,Leah Williamson,F,29,CB,CDM,1,87,74,48,73,72,88,77,73,75,31,50,48,46,45,50,60,63,67,83,88,60,61,73,73,88,85,82,86,85,90,89,88,86,73,77,81,170.0,57.0,Right,3,3,Anticipate+|Bruiser|Jockey|Long Ball Pass,4,1,England,Barclays WSL,Arsenal,leah williamson
39,5,231432,Lindsey Heaps,F,31,CAM,CM,1,87,76,84,87,84,64,80,78,75,87,83,89,86,83,70,79,88,87,91,90,68,85,79,68,87,87,81,71,89,59,62,49,92,85,84,63,175.0,67.0,Right,3,4,Incisive Pass+|Aerial Fortress|Dead Ball|Finesse Shot|Inventive|Power Shot|Precision Header,7,1,United States,Arkema PL,OL Lyonnes,lindsey heaps
39,2,227246,Lucy Bronze,F,34,RB,RM,1,87,71,68,82,80,87,87,70,71,73,55,85,79,66,62,87,74,72,86,81,82,79,73,70,85,84,87,85,82,88,88,85,83,82,92,82,172.0,70.0,Right,3,3,Jockey+|Block|Long Throw|Relentless,4,1,England,Barclays WSL,Chelsea,lucy bronze
39,3,232073,Mallory Swanson,F,27,LM,ST|LW,2,87,88,82,81,85,42,70,87,88,88,85,81,80,70,75,76,86,76,85,77,73,85,83,88,85,86,78,43,68,36,41,39,77,87,61,70,163.0,54.0,Right,5,4,Finesse Shot|First Touch|Quick Step|Technical,4,0,United States,NWSL,Chicago Stars FC,mallory swanson
39,5,207865,Marquinhos,M,31,CB,,0,87,78,56,75,74,89,80,75,80,70,59,65,45,35,52,68,76,32,84,85,58,69,68,67,86,79,86,89,88,90,89,88,89,79,79,81,183.0,75.0,Right,3,3,Intercept+|Aerial Fortress|Anticipate|Jockey,4,1,Brazil,Ligue 1 McDonald's,Paris SG,marquinhos
39,7,222665,Martin Ødegaard,M,27,CM,CAM,1,87,68,79,88,87,67,65,68,68,78,79,82,80,79,68,86,90,82,90,88,84,87,85,83,88,88,87,69,55,68,72,57,63,88,55,64,178.0,68.0,Left,2,5,Incisive Pass+|First Touch|Inventive|Pinged Pass|Technical,5,1,Norway,Premier League,Arsenal,martin degaard
39,5,238257,Millie Bright,F,32,CB,,0,87,57,51,70,62,87,88,51,61,38,51,63,46,35,59,50,57,52,86,86,51,59,33,48,84,70,85,82,89,91,88,79,86,79,93,88,178.0,76.0,Right,4,2,Bruiser+|Aerial Fortress|Anticipate,3,1,England,Barclays WSL,Chelsea,millie bright
39,4,256079,Moisés Caicedo,M,24,CDM,CM,1,87,71,64,78,81,84,82,76,66,63,57,75,72,60,55,65,79,55,85,84,73,79,80,79,84,83,83,87,70,83,86,87,80,90,77,85,178.0,73.0,Right,3,3,Slide Tackle+|Anticipate|Intercept|Pinged Pass|Press Proven|Relentless|Tiki Taka,7,1,Ecuador,Premier League,Chelsea,moises caicedo
39,7,224232,Nicolò Barella,M,29,CM,,0,87,80,78,84,86,81,76,82,78,84,77,80,79,80,73,79,85,67,89,87,79,84,91,88,91,87,88,85,60,80,85,80,75,89,66,87,175.0,68.0,Right,4,3,Relentless+|Incisive Pass|Intercept|Jockey|Long Ball Pass|Pinged Pass|Press Proven,7,1,Italy,Serie A Enilive,Lombardia FC,nicolo barella
39,7,232075,Rose Lavelle,F,30,CM,CAM,1,87,85,81,84,87,60,64,84,85,87,85,74,82,68,74,74,88,69,91,85,72,90,79,85,86,88,79,79,44,41,74,52,63,86,54,63,163.0,56.0,Left,4,4,Pinged Pass+|Finesse Shot|First Touch|Gamechanger|Incisive Pass|Technical|Tiki Taka,7,1,United States,NWSL,Gotham FC,rose lavelle
39,7,233662,Sakina Karchaoui,F,30,CM,LW|LB|CAM,3,87,89,76,87,88,77,69,92,87,85,71,88,81,59,70,86,88,75,89,87,81,89,91,85,84,88,88,82,66,76,80,76,76,90,57,72,160.0,55.0,Left,4,5,Intercept|Inventive|Jockey|Quick Step|Relentless|Technical|Whipped Pass,7,0,France,Arkema PL,Paris SG,sakina karchaoui
39,13,227125,Sam Kerr,F,32,ST,,0,87,80,87,74,89,42,83,80,80,86,91,84,84,91,71,70,79,68,77,67,76,90,89,80,80,90,91,24,93,44,39,30,87,87,81,80,168.0,66.0,Right,4,4,Acrobatic+|Enforcer|Finesse Shot|Quick Step|Rapid,5,1,Australia,Barclays WSL,Chelsea,sam kerr
39,13,215441,Serhou Guirassy,M,30,ST,,0,87,72,88,76,83,45,83,74,71,90,90,91,82,87,83,65,79,67,83,72,76,83,76,77,86,86,88,33,88,42,44,36,90,84,85,76,187.0,82.0,Right,4,3,Finesse Shot+|Acrobatic|Chip Shot|First Touch|Low Driven Shot|Precision Header,6,1,Guinea,Bundesliga,Borussia Dortmund,serhou guirassy
39,13,232293,Victor Osimhen,M,27,ST,,0,87,92,84,65,81,42,84,91,92,91,88,86,73,85,85,62,70,52,72,54,63,80,79,68,88,84,80,34,89,36,45,22,95,81,91,68,186.0,77.0,Right,4,3,Acrobatic|Chip Shot|Gamechanger|Precision Header|Rapid,5,0,Nigeria,Trendyol Süper Lig,Galatasaray,victor osimhen
39,13,241651,Viktor Gyökeres,M,27,ST,,0,87,90,86,73,81,36,91,88,92,88,88,88,80,77,88,72,79,71,78,58,72,80,82,72,87,83,85,28,81,34,34,16,95,93,91,87,189.0,94.0,Right,4,3,Enforcer+|Acrobatic|Finesse Shot|Low Driven Shot|Power Shot|Press Proven|Quick Step,7,1,Sweden,Premier League,Arsenal,viktor gyokeres
39,5,243715,William Saliba,M,25,CB,,0,87,77,39,68,72,87,83,76,78,54,35,60,23,34,47,58,62,35,80,77,55,74,53,46,86,77,82,86,80,88,90,86,89,72,88,83,193.0,85.0,Right,3,2,Anticipate+|Jockey|Long Ball Pass,3,1,France,Premier League,Arsenal,william saliba
71,11,205452,Antonio Rüdiger,M,33,CB,,0,86,79,55,72,70,84,86,70,87,54,40,84,67,34,40,68,61,56,83,81,50,69,56,50,85,74,80,83,83,84,85,84,89,70,91,93,190.0,85.0,Right,3,2,Aerial Fortress+|Block|Bruiser|Jockey|Long Ball Pass,5,1,Germany,LALIGA EA SPORTS,Real Madrid,antonio rudiger
71,14,247851,Bruno Guimarães,M,28,CM,CDM,1,86,66,75,84,84,79,81,66,66,77,73,76,82,65,65,76,86,63,88,88,83,86,73,79,85,86,88,82,66,78,82,81,75,90,76,86,182.0,74.0,Right,2,3,Gamechanger|Incisive Pass|Long Ball Pass|Press Proven|Relentless,5,0,Brazil,Premier League,Newcastle Utd,bruno guimaraes
71,4,262531,Claudia Pina,F,24,LW,ST|LM,2,86,79,86,83,87,45,71,78,79,86,87,84,91,88,64,84,84,85,86,75,81,88,83,84,85,88,81,37,69,31,55,51,71,76,69,69,160.0,68.0,Right,5,4,Low Driven Shot+|Dead Ball|Finesse Shot|Gamechanger|Incisive Pass|Technical|Tiki Taka,7,1,Spain,Liga F Moeve,FC Barcelona,claudia pina
